CNTRYID,CNT,CNTSCHID,SN,CNTSTUID,PVMATH,PVREAD,PVSCIE,PVSCEP,PVSCED,PVSCID,PVSKCO,PVSKPE,PVSSPH,PVSSLI,PVSSES,SMINS,SMINH,ESCS,IBTEACH,TEACHSUP,ENVAWARE,JOYSCIE,INTBRSCI,SCIEEFF,MOTIVAT,EPIST,ICTHOME,INTICT,COMPICT,AUTICT,INSTSCIE,TDTEACH,ADINST
158,TAP,15800113,4072,15806885,395.9643,383.0839,387.646,389.0682,421.4263,391.7626,399.1993,399.7229,378.571,427.6654,420.7121,0,0,-.0639, , ,-.3864,-.6306,-2.4981,-.898,-1.1822,-.1933,9,1.3697,.0226,-.2503,-.7778,.1931,-.8077
158,TAP,15800137,4943,15806892,463.9538,427.278,424.4292,438.7106,397.073,399.5488,426.8354,406.9259,416.9248,401.6682,438.7438,180,3,-1.3413,1.8215,.3797,-.2342,.5094,-.3744,-.898,-.4849,-.1933,4,-.0862,-.9607,-.1563,1.0388,.658,-.787
158,TAP,15800072,2573,15806893,400.4316,407.216,422.623,389.6363,388.2786,417.8241,434.8931,435.7562,388.1627,423.2943,445.7645,200,3.33333333333333, , , ,-.2325,-.1833,-.3744,1.5098,-.7662,-.1933,5,-.5743,-.9607,-.3297,1.7359,-.3597,-.3816
158,TAP,15800047,1700,15806900,464.1699,407.7678,440.6833,454.1089,425.6338,417.0118,444.5471,418.3663,448.0737,427.2259,404.7684,270,4.5,-.26,.416,.5088,.0194,.5094,2.4511,1.87,1.8543,1.0627,7,-.0862,-.227,.1216,-.7778,.0532,.353
158,TAP,15800089,3195,15806901,399.8741,418.0764,418.6206,423.9561,399.2222,384.7724,415.4709,421.0728,417.2612,387.5741,399.5675,135,2.25,-.3928,.0822,.1452,.0194,.4849,.7512,.3155,-.544,-.1933,10,-.0862,.0226,.1216,-1.0434,.4505,.6524
158,TAP,15800103,3687,15806903,350.0766,343.784,347.0914,338.5811,293.1176,368.3707,346.3406,331.9478,332.2471,319.6054,352.679,250,4.16666666666667,-.5644, , ,-3.3765,.5094,-2.4981,.3155,-.1651,-.1933,0,-1.3452,.0226,.1216,.0125,-.6102,-1.9656
158,TAP,15800002,55,15806906,456.092,494.6009,468.497,447.2958,457.5639,458.0595,436.6267,465.4138,444.0315,447.1585,449.6649,200,3.33333333333333,.0379,.9452,-.1164,-.3864,.0388,-2.4981,.3155,-.7662,-.1933, ,-.4203,-.7638,.1216,-.7778,.395,-.0163
158,TAP,15800113,4091,15806908,481.6844,409.7281,465.7555,469.9579,424.628,454.5467,489.3929,451.1636,480.6183,440.6666,458.4153,50,.833333333333333,.699,-.121,-.1164,-1.2707,.5094,.3721,.3155,-.1651,-.1933,7,.8079,-.3827,.1216,1.7359,-.3693,-1.9656
158,TAP,15800207,7434,15806914,470.1194,432.6403,424.0142,425.7734,451.5262,440.4843,398.3462,433.68,425.4704,422.0609,428.662,100,1.66666666666667,-.778,.6281,.5731,-.4257,-.1833,-.0529,.3155,-.0495,-.5013,7,-.4203,-.5836,-.4784,-.248,1.4501,2.0469
158,TAP,15800208,7478,15806923,310.1868,304.5387,332.5035,360.0402,340.9439,349.0964,337.7433,316.2001,354.5916,330.2161,337.0353,0,0,-1.5963, , ,-.3864,-.395,-.0589,.3155,-.1651,-.1933,6,-.0862,-.5034,-.959,1.356,2.0781,2.0469
158,TAP,15800079,2813,15806925,500.6973,495.6152,485.5852,490.1553,450.959,474.0684,485.2435,473.7713,465.9443,507.5066,497.3841,50,.833333333333333,-.5065,-.4755,-1.0718,.9525,-2.1154,-2.4981,.3155,.1111,-.1933,8,-.0862,-.227,.4777,-.7778,.0532,-.0163
158,TAP,15800081,2917,15806928,427.6995,340.1798,393.3121,400.5266,355.3089,351.2573,396.7818,338.9451,386.1632,401.1981,393.5531,99999999, ,.2025,.9452,-1.0718,-1.2707,.5094,.6496,.3155,-.1651,-.1933,11,1.1576,1.9359,2.0955,.3708,-.0718,.353
158,TAP,15800117,4206,15806930,402.3725,412.1001,439.6326,430.2755,413.3116,443.12,433.4905,428.0265,384.1726,423.1967,454.9451,180,3,-.7953,3.1829,1.4475,2.0177,-.8208,.5392,-1.6421,-1.0717,.8122,10,2.6352,1.4967,1.515,-.0575,1.4501,1.0006
158,TAP,15800035,1225,15806933,434.9208,425.1437,406.4298,415.193,384.3903,407.13,404.7316,415.7539,408.1611,398.7448,401.9896,100,1.66666666666667,-.8954,.83,-.1164,.0194,-.8208,.1473,.1291,-.2243,-.1933,8,-.0862,.0226,-.1563,-.7778,99,99
158,TAP,15800002,63,15806934,382.3589,376.0997,362.2785,344.1984,387.6404,362.0421,336.2175,387.9299,381.6669,366.5069,364.3946,200,3.33333333333333,-.059,.9452,-.2618,-1.2707,-2.1154,-1.2668,-1.8176,.6611,-.5033,8,-.8245,-1.3074,-1.7277,-1.9301,-.6102,-.3816
158,TAP,15800126,4539,15806937,414.0077,401.5703,408.6114,408.7712,391.8476,412.2131,385.1044,408.3215,401.817,396.2699,400.2427,0,0,-.9688, , ,-.2342,-2.1154,-2.4981,-1.0524,-.4982,2.1552,5,2.6352,.0226,-.1563,.7648,1.1203,.687
158,TAP,15800168,6046,15806942,450.0523,398.6315,416.4243,413.6808,413.9775,455.9007,424.372,446.5228,438.9006,466.4192,445.1194,100,1.66666666666667,-.839,.9452,-.1164,-.0809,-.6306,-.3744,-1.0524,-.4849, ,6,-.2479,-.3827,.1216,.3708,-.878,-1.2982
158,TAP,15800130,4685,15806944,451.5148,464.2785,455.9817,474.3014,510.666,487.9112,476.9483,487.495,483.203,474.3498,435.7744,0,0,.4648, , ,-.2591,-1.7159,-1.2668,.2938,.959,.231,9,.468,.8038,.7627,1.7359,.4505,.6524
158,TAP,15800079,2817,15806948,501.5798,412.7772,455.1198,446.3464,465.3096,454.7584,463.0587,461.4222,500.3052,471.478,452.8403,100,1.66666666666667,-.9729,-1.2753,-.3556,-1.2707,-.8208,-.0529,-1.0524,-.8771,-.1933,8,-.0862,-.5836,-.7496,-.7778,1.1091,.6327
158,TAP,15800153,5531,15806956,518.6548,469.0189,469.6121,452.9642,461.4777,460.3148,459.9087,476.3499,499.7302,492.2866,432.2888,135,2.25,-1.7503,.9452,1.4475,1.0361,-.3928,1.1786,.5385,1.3961,.1502,9,2.6352,1.9359,2.0955,.0125,2.0781,-.3816
158,TAP,15800006,194,15806961,516.0952,439.8697,483.6779,520.2515,497.7634,510.7824,496.5143,482.7646,494.7959,502.701,499.9727,60,1,.138,-1.4944,-1.0718,.0194,.5094,.5305,-.898,.1111,-.1933,9,-.0862,.0226,-.5251,.3708,-.3693,-.3816
158,TAP,15800181,6555,15806965,363.0972,295.1014,284.4061,291.9671,287.694,262.0871,254.9343,261.0291,296.4094,264.9172,293.0876,40,.666666666666667,-.8339,-.121,-.2618,-1.2707,-.6306,-.3744,-3.7565,.4485,-.9291,9,-.8061,.0226,-2.3976,.3708,.9505,.3379
158,TAP,15800087,3110,15806968,416.3209,425.8889,429.4717,422.9288,439.9106,438.6134,428.8361,468.0744,464.8772,418.0655,422.2019,0,0,-.8134, , ,1.621,-.395,-.2926,.1338,-.5643,-.1933,7,-.7114,-.5836,-.1565,-.0575,.2483,-.3816
158,TAP,15800185,6621,15806969,436.6285,468.3125,453.4466,458.4082,460.2245,443.4041,474.6811,446.2735,454.685,461.7847,459.8013,180,3,-.0342,3.1829,1.4475,.0194,-.3928,-.2865,1.5098,-.8771,-.1933,7,-.0862,.0226,-.2503,.3708,-.2836,-.3816
158,TAP,15800138,4973,15806970,426.9009,448.0074,444.0655,440.0957,422.2456,428.7816,439.6399,437.8954,460.0719,440.8263,450.1331,135,2.25,-1.3698,-1.8609,-.4496,-.2342,-.2145,.228,.1361,-.8133,-.1933,5,-.0862,-.4728,-.1563,-.7289,.4505,.3181
158,TAP,15800169,6080,15806971,482.7173,471.6519,471.9984,461.1805,506.5632,494.5104,434.3783,492.7245,461.1659,493.7814,480.0561,315,5.25,-.327,-.1818,1.4475,-.2325,-.6306,-.3744,-.5651,.1111,-.1933,7,-1.1686,-1.0746,-2.5027,.3708,-.7694,-1.2982
